drgv22,drg_title,mdc,mdc_name,drg_type,relative_weights,geometric_mean_los
172,DIGESTIVE MALIGNANCY W CC,06,Digestive System,MED,1.3968,5.1
173,DIGESTIVE MALIGNANCY W/O CC,06,Digestive System,MED,0.7437,2.7
174,G.I. HEMORRHAGE W CC,06,Digestive System,MED,1.0109,3.8
175,G.I. HEMORRHAGE W/O CC,06,Digestive System,MED,0.5704,2.5
176,COMPLICATED PEPTIC ULCER,06,Digestive System,MED,1.1149,4.1
177,UNCOMPLICATED PEPTIC ULCER W CC,06,Digestive System,MED,0.9339,3.7
178,UNCOMPLICATED PEPTIC ULCER W/O CC,06,Digestive System,MED,0.6791,2.6
179,INFLAMMATORY BOWEL DISEASE,06,Digestive System,MED,1.1059,4.6
180,G.I. OBSTRUCTION W CC,06,Digestive System,MED,0.9753,4.2
181,G.I. OBSTRUCTION W/O CC,06,Digestive System,MED,0.5539,2.8
182,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS AGE >17 W CC",06,Digestive System,MED,0.8255,3.4
183,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS AGE >17 W/O CC",06,Digestive System,MED,0.5844,2.3
184,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS AGE 0-17",06,Digestive System,MED,0.4851,2.5
185,"DENTAL & ORAL DIS EXCEPT EXTRACTIONS & RESTORATIONS, AGE >17",03,"Ear, Nose & Throat",MED,0.9124,3.4
186,"DENTAL & ORAL DIS EXCEPT EXTRACTIONS & RESTORATIONS, AGE 0-17",03,"Ear, Nose & Throat",MED,0.3238,2.9
187,DENTAL EXTRACTIONS & RESTORATIONS,03,"Ear, Nose & Throat",MED,0.8167,3.1
188,OTHER DIGESTIVE SYSTEM DIAGNOSES AGE >17 W CC,06,Digestive System,MED,1.1137,4.1
189,OTHER DIGESTIVE SYSTEM DIAGNOSES AGE >17 W/O CC,06,Digestive System,MED,0.5918,2.4
190,OTHER DIGESTIVE SYSTEM DIAGNOSES AGE 0-17,06,Digestive System,MED,0.521,3.3
191,"PANCREAS, LIVER & SHUNT PROCEDURES W CC",07,Liver & Pancreas,SURG,4.0497,9.3
192,"PANCREAS, LIVER & SHUNT PROCEDURES W/O CC",07,Liver & Pancreas,SURG,1.6269,4.2
193,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC,07,Liver & Pancreas,SURG,3.4161,10.3
194,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC,07,Liver & Pancreas,SURG,1.5689,5.4
195,CHOLECYSTECTOMY W C.D.E. W CC,07,Liver & Pancreas,SURG,2.8886,8.5
196,CHOLECYSTECTOMY W C.D.E. W/O CC,07,Liver & Pancreas,SURG,1.585,4.6
197,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,07,Liver & Pancreas,SURG,2.5179,7.4
198,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC,07,Liver & Pancreas,SURG,1.1761,3.8
199,HEPATOBILIARY DIAGNOSTIC PROCEDURE FOR MALIGNANCY,07,Liver & Pancreas,SURG,2.338,6.8
200,HEPATOBILIARY DIAGNOSTIC PROCEDURE FOR NON-MALIGNANCY,07,Liver & Pancreas,SURG,2.9603,6.4
201,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES,07,Liver & Pancreas,SURG,3.7522,10.2
202,CIRRHOSIS & ALCOHOLIC HEPATITIS,07,Liver & Pancreas,MED,1.3386,4.7
203,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS,07,Liver & Pancreas,MED,1.3825,5.0
204,DISORDERS OF PANCREAS EXCEPT MALIGNANCY,07,Liver & Pancreas,MED,1.144,4.3
205,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC",07,Liver & Pancreas,MED,1.2122,4.5
206,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC",07,Liver & Pancreas,MED,0.7271,3.0
207,DISORDERS OF THE BILIARY TRACT W CC,07,Liver & Pancreas,MED,1.187,4.1
